#,"Date Time, GMT-07:00",Temp_F ,Temp_C,Light lum/ft2,Site,Method,Elevation
193,5/21/2023 13:45,70.995,21.66388889,5120,Thorndyke,Ground Bag,Low
194,5/21/2023 14:00,73.234,22.90777778,6656,Thorndyke,Ground Bag,Low
195,5/21/2023 14:15,73.062,22.81222222,6144,Thorndyke,Ground Bag,Low
196,5/21/2023 14:30,70.308,21.28222222,5376,Thorndyke,Ground Bag,Low
197,5/21/2023 14:45,66.366,19.09222222,232,Thorndyke,Ground Bag,Low
198,5/21/2023 15:00,61.398,16.33222222,136,Thorndyke,Ground Bag,Low
199,5/21/2023 15:15,59.337,15.18722222,128,Thorndyke,Ground Bag,Low
200,5/21/2023 15:30,58.647,14.80388889,54,Thorndyke,Ground Bag,Low
201,5/21/2023 15:45,58.303,14.61277778,42,Thorndyke,Ground Bag,Low
202,5/21/2023 16:00,58.647,14.80388889,29,Thorndyke,Ground Bag,Low
203,5/21/2023 16:15,57.441,14.13388889,37,Thorndyke,Ground Bag,Low
204,5/21/2023 16:30,57.096,13.94222222,30,Thorndyke,Ground Bag,Low
205,5/21/2023 16:45,56.923,13.84611111,33,Thorndyke,Ground Bag,Low
206,5/21/2023 17:00,56.577,13.65388889,38,Thorndyke,Ground Bag,Low
207,5/21/2023 17:15,56.057,13.365,22,Thorndyke,Ground Bag,Low
208,5/21/2023 17:30,54.842,12.69,22,Thorndyke,Ground Bag,Low
209,5/21/2023 17:45,54.669,12.59388889,26,Thorndyke,Ground Bag,Low
210,5/21/2023 18:00,54.495,12.49722222,12,Thorndyke,Ground Bag,Low
211,5/21/2023 18:15,54.495,12.49722222,18,Thorndyke,Ground Bag,Low
212,5/21/2023 18:30,54.495,12.49722222,11,Thorndyke,Ground Bag,Low
213,5/21/2023 18:45,54.147,12.30388889,8,Thorndyke,Ground Bag,Low
214,5/21/2023 19:00,53.973,12.20722222,3,Thorndyke,Ground Bag,Low
215,5/21/2023 19:15,53.798,12.11,2,Thorndyke,Ground Bag,Low
216,5/21/2023 19:30,53.449,11.91611111,3,Thorndyke,Ground Bag,Low
